reagent_a,reagent_b,severity,reason
LiAlH4,water,block,Violent exothermic reaction produces H2 gas
LiAlH4,alcohol,block,Violent reaction with protic solvents
LiAlH4,carboxylic_acid,block,Violent reaction produces H2 gas
LiAlH4,DMSO,block,Spontaneous ignition in DMSO
NaH,water,block,Violent H2 evolution
NaH,alcohol,block,Exothermic H2 evolution
NaH,DMSO,warn,Dimsyl anion formation at elevated temperature
NaBH4,water,warn,Slow hydrolysis at neutral pH acceptable
NaBH4,acid,block,Rapid hydrolysis destroys reagent
NaBH4,methanol,warn,Slow methanolysis acceptable at low temp
Grignard,water,block,Quenches organometallic
Grignard,alcohol,block,Quenches organometallic
Grignard,carboxylic_acid,block,Quenches organometallic
Grignard,amine,warn,Possible deprotonation side reaction
organolithium,water,block,Violent quench destroys reagent
organolithium,alcohol,block,Violent quench destroys reagent
organolithium,DMSO,block,Reacts with DMSO above -40C
organolithium,DMF,warn,Reacts with DMF to give aldehyde (useful but risky)
n_BuLi,THF,warn,THF ring-opening above 0C
t_BuLi,THF,warn,Exothermic ring-opening above -78C
t_BuLi,diethyl_ether,warn,Preferred over THF but still use low temp
mCPBA,amine,warn,N-oxidation side product
mCPBA,sulfide,warn,Sulfoxidation competes with epoxidation
mCPBA,thiol,block,Over-oxidation to sulfonic acid
KMnO4,alcohol,block,Over-oxidation of primary alcohol to carboxylic acid
KMnO4,alkene,warn,Dihydroxylation or cleavage depending on conditions
OsO4,alkene,warn,cis-Dihydroxylation requires stoichiometric reoxidant
OsO4,thiol,block,Catalyst poisoning
ozone,thiol,block,Over-oxidation
ozone,sulfide,warn,Sulfoxide/sulfone formation
NBS,amine,block,N-bromination side product
NBS,thiol,block,S-bromination
NBS,enol,warn,Alpha-bromination competes with allylic
NCS,amine,block,N-chlorination
NCS,thiol,block,S-chlorination
Pd_catalyst,thiol,block,Catalyst poisoning
Pd_catalyst,phosphine_excess,warn,Inhibition at high L:Pd ratio
Pd_catalyst,amine_excess,warn,Coordination inhibition
Ni_catalyst,thiol,block,Catalyst poisoning
Ru_catalyst,thiol,warn,Possible poisoning
Cu_catalyst,thiol,warn,Cu-thiolate complex formation
SOCl2,alcohol,warn,Chlorination; ensure no sensitive groups present
SOCl2,amine,block,Sulfinylamine formation
SOCl2,water,block,Hydrolysis regenerates carboxylic acid
PCl5,alcohol,warn,Chlorination; exothermic
PCl5,water,block,Violent hydrolysis
POCl3,water,block,Hydrolysis
POCl3,amine,warn,Vilsmeier conditions; requires control
oxalyl_chloride,water,block,Hydrolysis
oxalyl_chloride,DMSO,warn,Swern oxidation conditions; CO/CO2 evolution
DCC,water,block,Hydrolysis of active ester
DCC,amine_excess,warn,Urea byproduct formation
EDC,water,warn,Slow hydrolysis; add immediately to reaction
DIBAL,ester,warn,Over-reduction to alcohol at excess or warm temp
